GLOBALID,OBJECTID,Traffic Calming ID,AssetID,Traffic Calming Category,Asset Code,Asset Owner,General Location,Install Year,Material,Asset Description,Asset Status,Location,Maintained By,Add Date,Modified Date,Source Date,Data Source,Source Accuracy,x,y
09cc05a4-751a-4243-a76a-504ca8560023,281,TRCLM545,TRCLM545,VERTI,SPDHMP,HRM,ROW,2021,ASPH,,INS,ROCKINGSTONE RD,HRM,11/17/2021 10:56:13 PM,11/17/2021 10:56:50 PM,11/17/2021 4:00:00 AM,Traffic Management,,-7082047.5196,5559626.376
d8f4dde0-34a8-46f0-a100-9d7d65ea0b15,282,TRCLM1399,TRCLM1399,VERTI,SPDTBL,HRM,ROW,2024,ASPH,,INS,Doherty Drive,HRM,11/16/2022 7:17:23 PM,12/12/2024 11:09:01 PM,,,,-7058613.055,5573070.6592
edf16913-20d4-4d50-a0a0-da6470db9e5c,283,TRCLM822,TRCLM822,VERTI,SPDHMP,HRM,ROW,2022,ASPH,,INS,ASHDALE AVE,HRM,11/23/2021 5:37:22 PM,7/6/2022 7:21:14 PM,11/23/2021 4:00:00 AM,Traffic Management,,-7083778.8907,5567922.9566
80d1d326-337b-40ba-8294-41d263416830,284,TRCLM2146,TRCLM2146,HORIZ,BMPOUT,HRM,ROW,,ASPH,,INS,DEVONSHIRE AVE,HRM,6/20/2024 6:06:44 PM,6/20/2024 6:06:44 PM,6/20/2024 6:00:00 PM,Traffic Management,PH,-7079878.5991,5569233.2333
5e23a124-2b73-443f-b247-ac11c1dad87b,285,TRCLM680,TRCLM680,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,ST GEORGE BLVD,HRM,11/19/2021 9:51:05 PM,10/26/2022 9:30:27 PM,4/13/2022 3:00:00 AM,Traffic Management,,-7096443.6379,5577882.9722
57310ce7-6295-4954-b53f-4541ba0deb8e,286,TRCLM211,TRCLM211,HORIZ,BMPOUT,HRM,ROW,2022,CONC,CURB RADII REDUCTION,INS,MONTEBELLO DR,HRM,10/7/2021 3:57:03 PM,12/14/2022 10:09:22 PM,6/3/2022 3:00:00 AM,Traffic Management,,-7073010.3805,5574468.6341
62eea077-ee55-4669-9fdb-d4477bbddeba,287,TRCLM224,TRCLM224,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,BRENTWOOD AVE,HRM,10/7/2021 3:57:03 PM,10/7/2021 4:01:25 PM,,Traffic Management,,-7095228.8674,5566951.0576
43fd641a-7080-48fe-bb0b-822fa812be9d,288,TRCLM592,TRCLM592,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,COLBY DR,HRM,11/18/2021 6:55:03 PM,12/14/2022 6:54:20 PM,6/3/2022 3:00:00 AM,Traffic Management,,-7066382.3647,5568546.422
43ffb6a2-d47f-48e1-a3dc-2e7ed7a9dab4,289,TRCLM307,TRCLM307,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,Beechcrest Drive,HRM,10/27/2021 2:38:33 PM,9/24/2024 10:36:07 PM,,,,-7077729.808,5586516.2657
4b9c7736-d52f-419b-81cf-f90355b0ca54,290,TRCLM22,TRCLM22,VERTI,SPDHMP,HRM,ROW,,ASPH,,INS,PRYOR ST,HRM,10/7/2021 3:57:03 PM,10/7/2021 4:01:25 PM,,Traffic Management,,-7080704.6745,5564894.7919
2a6dee3b-8a30-46cb-8b83-a405a112eeec,291,TRCLM300,TRCLM300,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,EVERGREEN PL,HRM,10/27/2021 2:38:33 PM,11/23/2021 6:17:02 PM,11/23/2021 4:00:00 AM,Traffic Management,,-7088545.6529,5560109.4127
89d4b115-4ab3-4cfb-9f26-4b35ad88fc42,293,TRCLM909,TRCLM909,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,SMOKEY DR,HRM,12/15/2021 7:46:22 PM,8/29/2022 2:18:24 PM,4/14/2022 3:00:00 AM,Traffic Management,,-7089607.3919,5587584.2773
16dd5401-f408-4f8e-981a-f79b10337ee0,294,TRCLM468,TRCLM468,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,WATERSTONE RUN,HRM,11/15/2021 11:40:49 PM,7/5/2024 9:43:48 PM,11/15/2021 4:00:00 AM,Traffic Management,,-7094452.2434,5585171.456
f3c48cee-df02-4298-9a05-88310c09d606,295,TRCLM8,TRCLM8,VERTI,SPDHMP,HRM,ROW,,ASPH,,INS,ARMVIEW AVE,HRM,10/7/2021 3:57:03 PM,10/7/2021 4:01:25 PM,,Traffic Management,,-7080881.4499,5565000.551
d39ed6be-803c-44c3-a15a-48e27920c256,296,TRCLM1256,TRCLM1256,VERTI,SPDTBL,HRM,ROW,2023,ASPH,,INS,WILLETT ST,HRM,7/22/2022 4:03:26 PM,5/10/2024 7:13:05 PM,,,,-7085047.2948,5567102.9254
